idproducto,descripcion,idgrupo
9049,CORTEZA DE BRONCE 355 ML CHELADA,9
9050,CORTEZA DE BRONCE 355 ML MICHELADA,9
9051,CORTEZA DE BRONCE 355 ML DIABLA,9
9052,ULTRA,9
9053,MODELO ESPECIAL,9
9054,MODELO AMBAR,9
9055,NEGRA MODELO,9
9056,CHELADA C/MODELO,9
9057,MICHELADA C/MODELO,9
9058,DIABLA C/MODELO,9
10001,VINO DE LA CASA COPA,10
10002,CLERICOT JARRA,10
10003,CLERICOT COPA,10
10004,TINTO DE VERANO COPA,10
10005,SANGRIA COPA,10
10006,CANTABURROS 750 ML,10
10007,POSTALES 750 ML,10
10008,CASILLERO DEL DIABLO MERLOT 750 ML,10
10009,CASILLERO DEL DIABLO CABERNET 750 ML,10
10010,GAUDIANA TINTO 750 ML,10
10011,DIORAMA (S),10
10012,VIÑA FORAL,10
10013,MARQUES PLUMA COSECHA BOT 750 ML,10
10014,GRAN LOGRADO COSECHA BOT 750 ML,10
10015,CALLIA ALTA BOT 750 ML,10
10016,DIORAMA MERLOT BOT 750 ML,10
10017,SELECCION BOT 750 ML (S),10
10018,GAUDIANA TINTO COPA,10
10019,TINTO DE VERANO JARRA,10
10020,BOTELLA RESERVADO  CONCHA Y TORO MERLOT,10
10021,FINCA LAS MORAS,10
10022,VIVANTE DULCE MALBEC,10
10023,TINTO CRIANZA,10
10024,VIVANTE MALBEC DULCE,10
10030,COPA CANTABURROS,10
10031,LUIS FELIPE EDWARDS 750 ML,10
10032,LUIS FELIPE EDWARDS,10
10033,CAPITOSO 750ML,10
10034,CAPITOSO,10
10036,CAPITOSO,10
10037,DESCORCHE,10
10038,CAPERUCITA TINTA 750ML,10
1011030,SANGRIA,10
11001,FLAN DE LA CASA,11
11002,NATILLA,11
11029,CUATRO REGIONES 750ML,10
12001,PASTA LIBRE DE GLUTEN,12
12002,MOLIDA DE CERDO,12
12003,MOLIDA DE RES,12
12004,CHILORIO,12
12005,JAMÓN,12
12006,JAMÓN SERRANO,12
12007,PEPPERONI,12
12008,SALAMI,12
12009,TOCINO,12
12010,QUESO AZUL,12
12011,QUESO CREMA,12
12012,QUESO GOUDA,12
12013,QUESO DE HEBRA,12
12014,QUESO MOZZARELLA,12
12015,QUESO PARMESANO,12
12016,ACEITUNA NEGRA,12
12017,ALBAHACA,12
12018,ALCACHOFA,12
12019,ALMENDRA,12
12020,APIO,12
12021,ARÁNDANO,12
12022,CACAHUATE GARAPIÑADO,12
12023,CALABACITA,12
12024,CEBOLLA,12
12025,CEBOLLA MORADA,12
12026,CHAMPIÑÓN,12
12027,ESPÁRRAGO,12
12028,ESPINACA,12
12029,JITOMATE,12
12030,NUEZ,12
12031,PERA,12
12032,PIMIENTO,12
12033,PIÑA,12
12034,PISTACHE MOLIDO,12
12035,PLÁTANO,12
12036,TOMATE CHERRY,12
12037,ZANAHORIA,12
12038,ANCHOA,12
12039,CAMARÓN,12
12040,SALMÓN,12
12041,ARÚGULA,12
12042,PAN DE AJO,3
12043,PAN DE AJO (S),12
12044,QUESO VEGANO,12
12045,CHORIZO,12
12046,SALSA 4 QUESOS,12
12047,QUESO DE CABRA EXTRA,12
12048,BOLOGNESA EXTRA,12
12049,SALSA NEGRA,12
13001,BOCA DEL RIO,13
13002,COSTA DE ORO,13
13003,VERACRUZ REFORMA,13
141019,HERRADURA REPOSADO,15
15002,JOSE CUERVO TRADICIONAL,15
15003,ABSOLUT BLUE,15
15004,JW BLACK LABEL,15
15005,TORRES 10,15
15006,BACARDI BLANCO,15
15007,LICOR 43,15
15008,BOODLES GIN,15
15009,JW RED LABEL,15
15010,BAILEYS ORIGINAL,15
15011,MATUSALEM 10 AÑOS,15
15012,AMARETTO DISARONNO,15
15013,ANIS MICO,15
15014,TEQUILA 1800,15
15015,TEQUILA MAESTRO DOBLE,15
15016,TEQUILA DON JULIO BLANCO,15
15017,RON MATUSALEM PLATINO,15
